CFTC Commitments of Traders — legacy futures-only
Market: 10-YEAR U.S. TREASURY NOTES (CME). Weekly Tuesday positions; last report 2018-09-25 (public release 2018-09-28).

report_date  open_interest  noncomm_long  noncomm_short  noncomm_net
 2018-01-02        3255430        660245         736085       -75840
 2018-01-09        3361285        561307         758160      -196853
 2018-01-16        3373769        650652         739911       -89259
 2018-01-23        3512126        680153         798030      -117877
 2018-01-30        3566655        671251         886851      -215600
 2018-02-06        3659818        611811         939351      -327540
 2018-02-13        3681797        658659         955594      -296935
 2018-02-20        3836765        681539         896019      -214480
 2018-02-27        3707544        542104         884993      -342889
 2018-03-06        3479342        586134         948284      -362150
 2018-03-13        3392050        590572         861941      -271369
 2018-03-20        3524954        638461         951765      -313304
 2018-03-27        3505282        625609         930821      -305212
 2018-04-03        3439319        566954         942319      -375365
 2018-04-10        3465481        635484         966119      -330635
 2018-04-17        3579519        647754        1019443      -371689
 2018-04-24        3784711        606022        1068155      -462133
 2018-05-01        3691604        631024        1076702      -445678
 2018-05-08        3752640        697678        1106307      -408629
 2018-05-15        3862526        706685        1088607      -381922
 2018-05-22        4074782        710120        1068747      -358627
 2018-05-29        3992875        640418        1111485      -471067
 2018-06-05        3523788        599377         996923      -397546
 2018-06-12        3411549        561002         896996      -335994
 2018-06-19        3450887        557770         917233      -359463
 2018-06-26        3468935        535849         891173      -355324
 2018-07-03        3572006        456977         957053      -500076
 2018-07-10        3633052        483038         922186      -439148
 2018-07-17        3688390        518429         987567      -469138
 2018-07-24        3785283        526182        1035680      -509498
 2018-07-31        3761004        471702        1061830      -590128
 2018-08-07        3779842        493797        1080096      -586299
 2018-08-14        3965130        485815        1184009      -698194
 2018-08-21        4123752        503734        1204248      -700514
 2018-08-28        4134502        573951        1103771      -529820
 2018-09-04        3991152        424804        1107561      -682757
 2018-09-11        3868648        431445        1114129      -682684
 2018-09-18        3986241        510780        1195492      -684712
 2018-09-25        4035499        483500        1239816      -756316
