CFTC Commitments of Traders — legacy futures-only
Market: CRUDE OIL (CME). Weekly Tuesday positions; last report 2014-11-25 (public release 2014-11-28).

report_date  open_interest  noncomm_long  noncomm_short  noncomm_net
 2014-06-03        1664043        520556         103971       416585
 2014-06-03         141122         57369          10303        47066
 2014-06-03         514491         84566          23081        61485
 2014-06-03          94767         16978          35379       -18401
 2014-06-10        1676336        520876         102865       418011
 2014-06-10         144106         58363          10736        47627
 2014-06-10         508573         93771          23775        69996
 2014-06-10          96119         16122          38133       -22011
 2014-06-17         529183         86526          33849        52677
 2014-06-17        1721703        545061          87905       457156
 2014-06-17         147460         64272          15548        48724
 2014-06-17          87238         15437          35298       -19861
 2014-06-24        1720856        548016          89047       458969
 2014-06-24         151288         67398          16065        51333
 2014-06-24         497866         83530          39382        44148
 2014-06-24          95823         15779          37061       -21282
 2014-07-01         516998         91392          41759        49633
 2014-07-01          97086         17173          40210       -23037
 2014-07-01         142175         65842          14367        51475
 2014-07-01        1759554        535712          89872       445840
 2014-07-08          96741         17857          44720       -26863
 2014-07-08        1742131        514431          89544       424887
 2014-07-08         497378         93371          35667        57704
 2014-07-08         145296         68892          14994        53898
 2014-07-15         512118         86920          44797        42123
 2014-07-15        1721704        489729          90126       399603
 2014-07-15         101574         18976          44670       -25694
 2014-07-15         147753         69377          16148        53229
 2014-07-22         151110         72092          16168        55924
 2014-07-22          97714         21189          44586       -23397
 2014-07-22         487414        110950          25980        84970
 2014-07-22        1642836        467574          96130       371444
 2014-07-29         153498         73154          16379        56775
 2014-07-29        1628926        470115         105376       364739
 2014-07-29         490037        102054          30836        71218
 2014-07-29          99078         18107          44798       -26691
 2014-08-05         144800         68308          14710        53598
 2014-08-05         474288         93752          24382        69370
 2014-08-05         114403         20291          53956       -33665
 2014-08-05        1587187        450544         103340       347204
 2014-08-12         144841         68568          14938        53630
 2014-08-12         120146         19020          55992       -36972
 2014-08-12         491814         93193          28875        64318
 2014-08-12        1583609        433331         109265       324066
 2014-08-19         467630         83307          38486        44821
 2014-08-19         149876         69025          14812        54213
 2014-08-19        1542337        429288         105815       323473
 2014-08-19          14552           619            531           88
 2014-08-19         108297         19010          54216       -35206
 2014-08-26         114905         19262          56088       -36826
 2014-08-26         453578         79381          36711        42670
 2014-08-26        1550253        424250         106523       317727
 2014-08-26         151640         64094          14653        49441
 2014-08-26          18813           357            925         -568
 2014-09-02         122472         19533          57555       -38022
 2014-09-02        1559353        421058         118494       302564
 2014-09-02         143444         58805          13666        45139
 2014-09-02         459909         80552          34467        46085
 2014-09-09         464057         86779          29203        57576
 2014-09-09        1553516        426580         126598       299982
 2014-09-09         145449         66347          13662        52685
 2014-09-09         125017         20005          58812       -38807
 2014-09-16        1528614        434417         137136       297281
 2014-09-16         465780         95308          28290        67018
 2014-09-16          13659           544              0          544
 2014-09-16         121152         20934          62722       -41788
 2014-09-16         146563         69330          13837        55493
 2014-09-23         148753         69867          13659        56208
 2014-09-23         124035         19696          61770       -42074
 2014-09-23        1480629        423239         127187       296052
 2014-09-23         453155         85657          32876        52781
 2014-09-23          18344           387            509         -122
 2014-09-30         125805         23350          64708       -41358
 2014-09-30         151281         72062          15544        56518
 2014-09-30         466475         90203          35744        54459
 2014-09-30        1485856        426689         130743       295946
 2014-10-07         133662         22548          67882       -45334
 2014-10-07         483303         83018          38973        44045
 2014-10-07        1503764        435642         141959       293683
 2014-10-07         142318         67728          16858        50870
 2014-10-14         496366         79607          41299        38308
 2014-10-14         140535         22580          69269       -46689
 2014-10-14        1537452        441625         162845       278780
 2014-10-14         144101         68485          18156        50329
 2014-10-21          14559           425            691         -266
 2014-10-21         147732         71038          18036        53002
 2014-10-21         139255         15898          63414       -47516
 2014-10-21        1459981        430349         150248       280101
 2014-10-21         468448         77393          40708        36685
 2014-10-28         470725         77092          43728        33364
 2014-10-28         145001         14955          65459       -50504
 2014-10-28        1476289        428086         160782       267304
 2014-10-28          18411           458              1          457
 2014-10-28         149631         74144          19020        55124
 2014-11-04         140967         68226          17958        50268
 2014-11-04        1498736        435649         167117       268532
 2014-11-04         469201         76308          47310        28998
 2014-11-04         148286         14122          66411       -52289
 2014-11-11         155473          9516          69101       -59585
 2014-11-11         142322         68809          17721        51088
 2014-11-11        1509371        442119         165287       276832
 2014-11-11         473957         80901          50326        30575
 2014-11-18         139378          9839          66974       -57135
 2014-11-18         143485         69449          17999        51450
 2014-11-18        1459175        403713         148350       255363
 2014-11-18         430298         79096          48562        30534
 2014-11-25         144588         10596          68580       -57984
 2014-11-25         147576         80670          17663        63007
 2014-11-25          21223          1700              0         1700
 2014-11-25        1386635        400621         147620       253001
 2014-11-25         385614         80299          38959        41340
