CFTC Commitments of Traders — legacy futures-only
Market: JAPANESE YEN (CME). Weekly Tuesday positions; last report 2007-07-17 (public release 2007-07-20).

report_date  open_interest  noncomm_long  noncomm_short  noncomm_net
 2007-01-03          30753         21617              0        21617
 2007-01-03         280541         54819         173411      -118592
 2007-01-09         287999         54341         177684      -123343
 2007-01-09          26846         17654              0        17654
 2007-01-16          31568         22638              0        22638
 2007-01-16         308740         56031         194177      -138146
 2007-01-23          34644         26762              0        26762
 2007-01-23         344998         52200         217060      -164860
 2007-01-30          34589         24184              0        24184
 2007-01-30         344070         42579         215584      -173005
 2007-02-06          35960         25791              0        25791
 2007-02-06         314920         41025         169551      -128526
 2007-02-13          38221         26312            671        25641
 2007-02-13         361809         43467         210972      -167505
 2007-02-20         332216         42286         158481      -116195
 2007-02-20          37841         24255            671        23584
 2007-02-27         328295         39383         154009      -114626
 2007-02-27          37721         24698            671        24027
 2007-03-06         278491         30479          93365       -62886
 2007-03-06          28229          9833           1709         8124
 2007-03-13         281602         38194          91047       -52853
 2007-03-13          37739          9217           2122         7095
 2007-03-20         176550         34269          84222       -49953
 2007-03-27         204073         37765          85245       -47480
 2007-04-03         221748         36845         100703       -63858
 2007-04-10         230370         42718         107559       -64841
 2007-04-17         234796         43281         113800       -70519
 2007-04-24         235531         37900         119672       -81772
 2007-05-01         279868         47618         166400      -118782
 2007-05-08         284780         51213         163472      -112259
 2007-05-15         297263         46650         174546      -127896
 2007-05-22         326431         52301         204047      -151746
 2007-05-22          26615         17737              0        17737
 2007-05-29          26709         17809              0        17809
 2007-05-29         319048         51301         197544      -146243
 2007-06-05         311288         53781         177787      -124006
 2007-06-05          26738         17569              0        17569
 2007-06-12          32991         18264              0        18264
 2007-06-12         380532         48791         176353      -127562
 2007-06-19         310083         45218         206579      -161361
 2007-06-26         352299         49411         237488      -188077
 2007-07-03         326811         43373         198511      -155138
 2007-07-10          27630         21340              0        21340
 2007-07-10         320333         51549         177439      -125890
 2007-07-17          27277         19903              0        19903
 2007-07-17         303595         50431         177204      -126773
