CFTC Commitments of Traders — legacy futures-only
Market: JAPANESE YEN (CME). Weekly Tuesday positions; last report 2024-07-23 (public release 2024-07-26).

report_date  open_interest  noncomm_long  noncomm_short  noncomm_net
 2024-01-02         184042         33585          90780       -57195
 2024-01-09         200299         41364          97313       -55949
 2024-01-16         213309         44180         100740       -56560
 2024-01-23         243032         52585         123230       -70645
 2024-01-30         242029         44918         125373       -80455
 2024-02-06         259542         55646         139876       -84230
 2024-02-13         304592         58554         170090      -111536
 2024-02-20          21713          6262           5903          359
 2024-02-20         305438         53862         174640      -120778
 2024-02-27          22509          6439           5968          471
 2024-02-27         309633         51261         183966      -132705
 2024-03-05          23467          6102           5602          500
 2024-03-05         314586         54671         173514      -118843
 2024-03-12          26129          6848           4552         2296
 2024-03-12         325675         54923         157245      -102322
 2024-03-19         302500         66274         182286      -116012
 2024-03-19          27908          6493           5372         1121
 2024-03-26         305701         59969         189075      -129106
 2024-04-02         316809         55190         198420      -143230
 2024-04-02          22933          5519           4033         1486
 2024-04-09         324479         47275         209426      -162151
 2024-04-09          23353          5721           4983          738
 2024-04-16          22659          5133           4883          250
 2024-04-16         331110         49463         215082      -165619
 2024-04-23         336167         42426         222345      -179919
 2024-04-23          22355          4865           4288          577
 2024-04-30         334848         40435         208823      -168388
 2024-04-30          22074          4685           5256         -571
 2024-05-07         299859         34990         169912      -134922
 2024-05-14         297606         35303         161485      -126182
 2024-05-21         301315         29614         173981      -144367
 2024-05-28         325231         28565         184604      -156039
 2024-06-04          21959          4581           3989          592
 2024-06-04         303009         40427         172528      -132101
 2024-06-11          24865          5426           4266         1160
 2024-06-11         319274         30763         169342      -138579
 2024-06-18         297117         29429         177182      -147753
 2024-06-18          28725          6578           4323         2255
 2024-06-25         340237         34576         208476      -173900
 2024-07-02         349817         36714         220937      -184223
 2024-07-09         348954         41521         223554      -182033
 2024-07-16         307205         47356         198428      -151072
 2024-07-23         307183         64390         171498      -107108
