CFTC Commitments of Traders — legacy futures-only
Market: CRUDE OIL (CME). Weekly Tuesday positions; last report 2020-02-25 (public release 2020-02-28).

report_date  open_interest  noncomm_long  noncomm_short  noncomm_net
 2019-11-05         161245         50509          23211        27298
 2019-11-05        2083893        565026         158886       406140
 2019-11-05         641054        202496          49983       152513
 2019-11-05         221692         59746         111490       -51744
 2019-11-12         165746         49944          22620        27324
 2019-11-12         224706         58835         109190       -50355
 2019-11-12        2151499        539082         114485       424597
 2019-11-12         628838        225023          53660       171363
 2019-11-19         221909         57465         109533       -52068
 2019-11-19         169404         50573          23236        27337
 2019-11-19        2123596        541420         111445       429975
 2019-11-19         614961        222426          44580       177846
 2019-11-26         223758         60019         110147       -50128
 2019-11-26        2187168        553737          82801       470936
 2019-11-26         618863        222664          40574       182090
 2019-11-26         180174         58624          22891        35733
 2019-12-03         204378         50210         104625       -54415
 2019-12-03        2163757        531120         103085       428035
 2019-12-03         604877        218888          35450       183438
 2019-12-03         162884         54280          21723        32557
 2019-12-10         609147        228961          36218       192743
 2019-12-10         171349         59024          23873        35151
 2019-12-10         208101         47220         109751       -62531
 2019-12-10        2229813        577216          81677       495539
 2019-12-17         180256         66279          25012        41267
 2019-12-17         601431        222423          42502       179921
 2019-12-17         211582         47544         113755       -66211
 2019-12-17        2166584        612113          75736       536377
 2019-12-24         184650         69334          31936        37398
 2019-12-24         569973        224466          42057       182409
 2019-12-24         218159         49303         113490       -64187
 2019-12-24        2114661        625302          75225       550077
 2019-12-31         580966        233924          30341       203583
 2019-12-31         187390         68141          33036        35105
 2019-12-31        2145567        626848          71991       554857
 2019-12-31         206500         45113         104119       -59006
 2020-01-07         224404         52481         108971       -56490
 2020-01-07         167163         55333          31621        23712
 2020-01-07        2244930        639009          71737       567272
 2020-01-07         585747        229275          32076       197199
 2020-01-14         168745         54361          32667        21694
 2020-01-14         592018        229781          40910       188871
 2020-01-14         235736         56054         109223       -53169
 2020-01-14        2215893        610444          80132       530312
 2020-01-21         232526         50444         107570       -57126
 2020-01-21         171812         53415          33148        20267
 2020-01-21         587141        228906          38533       190373
 2020-01-21        2146832        599228          78660       520568
 2020-01-28         241552         45882         101435       -55553
 2020-01-28         174238         54578          32530        22048
 2020-01-28         621387        234980          42228       192752
 2020-01-28        2172019        588255         126493       461762
 2020-02-04         158991         48019          30402        17617
 2020-02-04         239631         44933         102905       -57972
 2020-02-04         640339        246373          35994       210379
 2020-02-04        2271741        576917         179543       397374
 2020-02-11         256090         40272          94394       -54122
 2020-02-11         637747        242397          27598       214799
 2020-02-11         162387         48970          30330        18640
 2020-02-11        2213522        577155         180386       396769
 2020-02-18         608437        226972          34099       192873
 2020-02-18         265185         44516          97416       -52900
 2020-02-18         164436         48054          30918        17136
 2020-02-18        2138168        571252         159488       411764
 2020-02-25         272410         49134         100522       -51388
 2020-02-25         167952         50032          30520        19512
 2020-02-25        2179833        558798         127332       431466
 2020-02-25         621732        229468          36187       193281
